(10, '30-10-23', 'Lazio', 'Fiorentina', '1-0', 'Inter', 1, 2)
(11, '03-11-23', 'Bologna', 'Lazio', '1-0', 'Inter', 1, 2)
(11, '04-11-23', 'Milan', 'Udinese', '0-1', 'Inter', 1, 2)
(11, '04-11-23', 'Salernitana', 'Napoli', '0-2', 'Inter', 1, 2)
(11, '04-11-23', 'Atalanta', 'Inter', '1-2', 'Inter', 1, 2)
(11, '05-11-23', 'Fiorentina', 'Juventus', '0-1', 'Inter', 2, 2)
(11, '05-11-23', 'Verona', 'Monza', '1-3', 'Inter', 2, 2)
(11, '05-11-23', 'Cagliari', 'Genoa', '2-1', 'Inter', 2, 2)
(11, '05-11-23', 'Roma', 'Lecce', '2-1', 'Inter', 2, 2)
(11, '06-11-23', 'Frosinone', 'Empoli', '2-1', 'Inter', 2, 2)
(11, '06-11-23', 'Torino', 'Sassuolo', '2-1', 'Inter', 2, 2)
(12, '10-11-23', 'Genoa', 'Verona', '1-0', 'Inter', 2, 2)
(12, '10-11-23', 'Sassuolo', 'Salernitana', '2-2', 'Inter', 2, 2)
(12, '11-11-23', 'Monza', 'Torino', '1-1', 'Inter', 2, 2)
(12, '11-11-23', 'Juventus', 'Cagliari', '2-1', 'Inter', 2, 2)
(12, '11-11-23', 'Lecce', 'Milan', '2-2', 'Inter', 2, 2)
(12, '12-11-23', 'Lazio', 'Roma', '0-0', 'Inter', 2, 2)
(12, '12-11-23', 'Napoli', 'Empoli', '0-1', 'Inter', 2, 2)
(12, '12-11-23', 'Udinese', 'Atalanta', '1-1', 'Inter', 2, 2)
(12, '12-11-23', 'Fiorentina', 'Bologna', '2-1', 'Inter', 2, 2)
(12, '12-11-23', 'Inter', 'Frosinone', '2-0', 'Inter', 2, 2)
(13, '25-11-23', 'Atalanta', 'Napoli', '1-2', 'Inter', 3, 2)
(13, '25-11-23', 'Milan', 'Fiorentina', '1-0', 'Inter', 3, 2)
(13, '25-11-23', 'Salernitana', 'Lazio', '2-1', 'Inter', 3, 2)
(13, '26-11-23', 'Cagliari', 'Monza', '1-1', 'Inter', 3, 2)
(13, '26-11-23', 'Juventus', 'Inter', '1-1', 'Inter', 3, 2)
